timestamp,cpu_usage,mem_usage,cpu_temp
2025-12-24 16:37:38,0.12,5.6,24.12
2025-12-24 16:38:08,0.52,5.7,24.12
2025-12-24 16:39:51,0.12,5.7,24.12
2025-12-24 16:41:31,0.37,6.9,24.12
2025-12-24 16:43:10,0.02,5.8,24.12
